run_accession,study_accession,sample_accession,scientific_name,sample_title,tissue_type,dev_stage,tissue,tissue_source,condition,condition_source,metadata_source,study_title,metadata_blob
SRR19578270,PRJNA847051,SAMN28911713,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P3_1 | Illumina HiSeq 2500 sequencing: RNA-Seq of 3-year-old bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 3-year-old bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=1 | age=3-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578271,PRJNA847051,SAMN28911712,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P2_3 | Illumina HiSeq 2500 sequencing: RNA-Seq of 2-year-old bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 2-year-old bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=3 | age=2-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578272,PRJNA847051,SAMN28911711,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P2_2 | Illumina HiSeq 2500 sequencing: RNA-Seq of 2-year-old bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 2-year-old bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=2 | age=2-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578273,PRJNA847051,SAMN28911710,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P2_1 | Illumina HiSeq 2500 sequencing: RNA-Seq of 2-year-old bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 2-year-old bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=1 | age=2-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578274,PRJNA847051,SAMN28911709,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P1_3 | Illumina HiSeq 2500 sequencing: RNA-Seq of 1-year-old bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 1-year-old bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=3 | age=1-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578275,PRJNA847051,SAMN28911721,Lycoris chinensis,Lycoris chinensis,bulb meristem,reproductive growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | reproductive growth | Lycoris chinensis | P5_3 | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old flowering bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old flowering bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=3 | age=4-year-old | dev_stage=reproductive growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578276,PRJNA847051,SAMN28911720,Lycoris chinensis,Lycoris chinensis,bulb meristem,reproductive growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | reproductive growth | Lycoris chinensis | P5_2 | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old flowering bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old flowering bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=2 | age=4-year-old | dev_stage=reproductive growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578277,PRJNA847051,SAMN28911719,Lycoris chinensis,Lycoris chinensis,bulb meristem,reproductive growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | reproductive growth | Lycoris chinensis | P5_1 | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old flowering bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old flowering bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=1 | age=4-year-old | dev_stage=reproductive growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578278,PRJNA847051,SAMN28911718,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P4_3 | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old non-flowering bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old non-flowering bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=3 | age=4-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578279,PRJNA847051,SAMN28911717,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P4_2 | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old non-flowering bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 4-year-old non-flowering bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=2 | age=4-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578280,PRJNA847051,SAMN28911708,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P1_2 | Illumina HiSeq 2500 sequencing: RNA-Seq of 1-year-old bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 1-year-old bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=2 | age=1-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR19578281,PRJNA847051,SAMN28911707,Lycoris chinensis,Lycoris chinensis,bulb meristem,vegetative growth,Bulb meristem,declared,Unspecified,,ENA,Lycoris chinensis bulbs,bulb meristem | vegetative growth | Lycoris chinensis | P1_1 | Illumina HiSeq 2500 sequencing: RNA-Seq of 1-year-old bulb of Lycoris chinenesis | Lycoris chinensis | Illumina HiSeq 2500 sequencing: RNA-Seq of 1-year-old bulb of Lycoris chinenesis | BioSampleModel=Plant | Biological Replicate=1 | age=1-year-old | dev_stage=vegetative growth | ecotype=wild | geo_loc_name=China: Nanjing | organism=Lycoris chinensis | tissue=bulb meristem | title=Lycoris chinensis
SRR20646616,PRJNA862291,SAMN29962089,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,10d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 10d | Plant sample from Hippeastrum vittatum | BL10_2.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301698 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=10d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 2 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646617,PRJNA862291,SAMN29962088,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,10d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 10d | Plant sample from Hippeastrum vittatum | BL10_1.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301697 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=10d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 1 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646618,PRJNA862291,SAMN29962087,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,0d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 0d | Plant sample from Hippeastrum vittatum | BL0_3.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301695 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=0d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 3 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646619,PRJNA862291,SAMN29962096,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,30d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 30d | Plant sample from Hippeastrum vittatum | BL30_3.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301696 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=30d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 3 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646620,PRJNA862291,SAMN29962095,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,30d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 30d | Plant sample from Hippeastrum vittatum | BL30_2.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301694 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=30d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 2 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646621,PRJNA862291,SAMN29962086,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,0d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 0d | Plant sample from Hippeastrum vittatum | BL0_2.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301693 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=0d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 2 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646622,PRJNA862291,SAMN29962094,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,30d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 30d | Plant sample from Hippeastrum vittatum | BL30_1.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301691 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=30d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 1 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646623,PRJNA862291,SAMN29962093,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,20d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 20d | Plant sample from Hippeastrum vittatum | BL20_3.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301692 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=20d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 3 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646624,PRJNA862291,SAMN29962092,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,20d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 20d | Plant sample from Hippeastrum vittatum | BL20_2.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301690 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=20d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 2 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646625,PRJNA862291,SAMN29962091,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,20d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 20d | Plant sample from Hippeastrum vittatum | BL20_1.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301689 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=20d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 1 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646626,PRJNA862291,SAMN29962090,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,10d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 10d | Plant sample from Hippeastrum vittatum | BL10_3.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301688 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=10d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 3 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR20646627,PRJNA862291,SAMN29962085,Hippeastrum vittatum,Plant sample from Hippeastrum vittatum,leave,0d,Leaf,declared,Unspecified,,ENA,RNA-seq of amaryllis,leave | 0d | Plant sample from Hippeastrum vittatum | BL0_1.R1 | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | Plant sample from Hippeastrum vittatum | Illumina NovaSeq 6000 sequencing: amaryllis bud transcriptom | BioSampleModel=Plant | INSDC secondary accession=SRS14301687 | NCBI submission package=Plant.1.0 | age=not applicable | cultivar=not collected | dev_stage=0d | ecotype=not collected | geo_loc_name=China: Guangdong | organism=Hippeastrum vittatum | replicate=replicate = biological replicate 1 | tissue=leave | title=Plant sample from Hippeastrum vittatum
SRR22061541,PRJNA892737,SAMN31395404,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | L2_r1 | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in May | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in May | BioSampleModel=Plant | INSDC secondary accession=SRS15548785 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | title=
SRR22061542,PRJNA892737,SAMN31395403,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,physiological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | physiological differentiation period | Plant sample from Lycoris radiata | L1_r3 | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in April | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in April | BioSampleModel=Plant | INSDC secondary accession=SRS15548784 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=physiological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | ti
SRR22061543,PRJNA892737,SAMN31395402,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,physiological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | physiological differentiation period | Plant sample from Lycoris radiata | L1_r2 | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in April | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in April | BioSampleModel=Plant | INSDC secondary accession=SRS15548783 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=physiological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | ti
SRR22061544,PRJNA892737,SAMN31395393,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,physiological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | physiological differentiation period | Plant sample from Lycoris radiata | L1_r1 | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in April | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of late flowering bulb of Lycoris radiata taken in April | BioSampleModel=Plant | INSDC secondary accession=SRS15548782 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=physiological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | ti
SRR22061545,PRJNA892737,SAMN31395391,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | E2_r3 | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in May | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in May | BioSampleModel=Plant | INSDC secondary accession=SRS15548781 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | titl
SRR22061546,PRJNA892737,SAMN31395390,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | E2_r2 | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in May | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in May | BioSampleModel=Plant | INSDC secondary accession=SRS15548780 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | titl
SRR22061547,PRJNA892737,SAMN31395389,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | E2_r1 | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in May | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in May | BioSampleModel=Plant | INSDC secondary accession=SRS15548779 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | titl
SRR22061548,PRJNA892737,SAMN31395129,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | E1_r3 | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in April | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of early flowering bulb of Lycoris radiata taken in April | BioSampleModel=Plant | INSDC secondary accession=SRS15548778 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | 
SRR22061549,PRJNA892737,SAMN31395460,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | M2_r3 | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in May | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in May | BioSampleModel=Plant | INSDC secondary accession=SRS15548777 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | ti
SRR22061550,PRJNA892737,SAMN31395447,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | M2_r2 | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in May | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in May | BioSampleModel=Plant | INSDC secondary accession=SRS15548776 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | ti
SRR22061551,PRJNA892737,SAMN31395446,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,morphological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | morphological differentiation period | Plant sample from Lycoris radiata | M2_r1 | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in May | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in May | BioSampleModel=Plant | INSDC secondary accession=SRS15548775 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=morphological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem | ti
SRR22061552,PRJNA892737,SAMN31395445,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,physiological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | physiological differentiation period | Plant sample from Lycoris radiata | M1_r3 | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in April | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in April | BioSampleModel=Plant | INSDC secondary accession=SRS15548774 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=physiological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem 
SRR22061553,PRJNA892737,SAMN31395444,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,physiological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | physiological differentiation period | Plant sample from Lycoris radiata | M1_r2 | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in April | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in April | BioSampleModel=Plant | INSDC secondary accession=SRS15548773 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=physiological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem 
SRR22061554,PRJNA892737,SAMN31395443,Lycoris radiata,Plant sample from Lycoris radiata,bulb shoot apical meristem,physiological differentiation period,Bulb meristem,declared,Unspecified,,ENA,Lycoris radiata cultivar:Lycoris radiata Raw sequence reads,bulb shoot apical meristem | physiological differentiation period | Plant sample from Lycoris radiata | M1_r1 | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in April | Plant sample from Lycoris radiata | DNBSEQ-T7 sequencing: RNA-Seq of middle flowering bulb of Lycoris radiata taken in April | BioSampleModel=Plant | INSDC secondary accession=SRS15548772 | NCBI submission package=Plant.1.0 | age=3-year-old | dev_stage=physiological differentiation period | ecotype=wild | geo_loc_name=China:Nanjing | organism=Lycoris radiata | tissue=bulb shoot apical meristem 
